id,config,restaurant,intent,faithfulness,relevancy,ctx_precision,ctx_recall,ragas_composite,extractiveness,answer_chars,answer_words,sentiment_dir_match,top_category_hit,rating_mention,intent_addressed,specificity,answer_preview
q011,template_baseline,Behrouz Biryani,ambience,0.4610699601471424,0.5976929664611816,1.0,0.25,0.5123258218517881,0.5961538461538461,338,55,0,1,0,1,0.75,Based on 1 relevant reviews about **Behrouz Biryani**:  Most Relevant Reviews:  **1.** The Behrouz Biryani is the Royal Biryani. The flavour of Rice is super and the pieces of chic
q012,template_baseline,Frozen Bottle,recommend,0.27293134666979313,0.637035071849823,1.0,0.25,0.45660345402384644,0.5818181818181818,360,56,0,1,1,1,1.0,Based on 1 relevant reviews about **Frozen Bottle**:  Most Relevant Reviews:  **1.** Yesterday visited this place for the 1st time to try icecream milkshake which was on offer pric
q013,template_baseline,MOJO Pizza - 2X Toppings,quality,0.7745609730482101,0.7842904329299927,1.0,0.75,0.8215773314283028,0.17647058823529413,1105,189,1,1,1,1,1.0,Based on 5 relevant reviews about **MOJO Pizza - 2X Toppings**:  Most Relevant Reviews:  **1.** Mojo Pizza offers variety of amazing and delicious pizza's with 2x toppings. It was 
q014,template_baseline,Dunkin' Donuts,service,0.8862763047218323,0.7395655512809753,1.0,0.75,0.837339866462482,0.1807909604519774,1061,177,0,1,0,1,0.75,Based on 5 relevant reviews about **Dunkin' Donuts**:  Most Relevant Reviews:  **1.** Its was very great service from you Dunkin donuts and the ambience was really awesome and the 
q015,template_baseline,Kritunga Restaurant,price,0.475006565451622,0.6566341519355774,0.8,0.5,0.5943205779285724,0.20114942528735633,1019,174,1,1,0,0,0.5,Based on 5 relevant reviews about **Kritunga Restaurant**:  Most Relevant Reviews:  **1.** Very good ambience good food and very friendly staff comparing to all kritunga restaurant
q016,template_baseline,Feast - Sheraton Hyderabad Hotel,hygiene,0.5494254752993584,0.7102140188217163,1.0,0.75,0.7355121040055015,0.3764705882352941,521,87,1,1,0,1,0.75,Based on 2 relevant reviews about **Feast - Sheraton Hyderabad Hotel**:  Most Relevant Reviews:  **1.** Sheraton is one of the best hotels in Hyderabad but their restaurant fails t
q017,template_baseline,B-Dubs,ambience,0.9954274892807007,0.7123192548751831,1.0,1.0,0.9176373424128148,0.2892561983471074,673,121,1,1,0,1,0.75,Based on 3 relevant reviews about **B-Dubs**:  Most Relevant Reviews:  **1.** The ambience of this place is amazing. B dubs is the best place to be during any major sports seasons.
q018,template_baseline,Royal Spicy Restaurant,recommend,0.833702489733696,0.6887489557266235,1.0,0.75,0.8100901075697858,0.272,734,125,1,1,1,1,1.0,Based on 3 relevant reviews about **Royal Spicy Restaurant**:  Most Relevant Reviews:  **1.** The food was far more spicy than what was mentioned in the instructions for the restau
q019,template_baseline,La La Land - Bar & Kitchen,quality,0.6593140363693237,0.7158399224281311,1.0,1.0,0.828852132657974,0.1717171717171717,1133,201,1,1,1,1,1.0,Based on 5 relevant reviews about **La La Land - Bar & Kitchen**:  Most Relevant Reviews:  **1.** La La Land! Ambiance- 3.5/5 It has a black theme with modern crafty ceilings & is 
q020,template_baseline,10 Downing Street,service,0.16424644947983325,0.7269263863563538,1.0,0.75,0.5470309791377761,0.5932203389830508,341,59,0,1,0,1,0.75,"Based on 1 relevant reviews about **10 Downing Street**:  Most Relevant Reviews:  **1.** A grand entry, decent ambience and average food. That just about sums it up for 10 Downing "
q021,template_baseline,Asian Meal Box,price,0.9798047989606857,0.759658932685852,1.0,0.5,0.78105578587521,0.24375,877,162,0,1,0,1,0.5,Based on 4 relevant reviews about **Asian Meal Box**:  Most Relevant Reviews:  **1.** Meal box are value for money. The tossed noodles are soft and much healthier than fried and ch
q022,template_baseline,KS Bakers,hygiene,0.9892114102840424,0.748184084892273,1.0,0.75,0.8631568304343965,0.6274509803921569,315,51,1,1,0,1,0.75,Based on 1 relevant reviews about **KS Bakers**:  Most Relevant Reviews:  **1.** I often visit this place. It does offer good food and seating. The expense to satisfaction ratio is
q023,template_baseline,Aromas@11SIX,ambience,0.0,0.9279706478118896,0.0,0.0,0.005519294398132466,0.0,130,20,0,1,0,1,0.5,I couldn't find relevant information in the reviews or online about 'What is the ambience like at Aromas@11SIX?' for Aromas@11SIX.
q024,template_baseline,Karachi Bakery,recommend,0.8647718727588654,0.7191201448440552,1.0,0.5,0.7467380024257831,0.1935483870967742,1107,187,1,1,1,1,1.0,Based on 5 relevant reviews about **Karachi Bakery**:  Most Relevant Reviews:  **1.** It's a good chain of bakery here in the city well they give quite decent quality and quantity 
q025,template_baseline,Khaan Saab,quality,0.47013460099697113,0.744205892086029,1.0,1.0,0.7690929492579298,0.17277486910994763,1121,191,1,1,1,1,1.0,"Based on 5 relevant reviews about **Khaan Saab**:  Most Relevant Reviews:  **1.** I have been to khaan Saab in Vijayawada earlier and loved the food and ambience. Hence, chose to g"
q026,template_baseline,The Tilt Bar Republic,service,0.15457404777407646,0.6705928444862366,1.0,1.0,0.5674124669456692,0.3793103448275862,503,89,1,1,0,1,0.75,Based on 2 relevant reviews about **The Tilt Bar Republic**:  Most Relevant Reviews:  **1.** This is my second visit to tilt bar . Loved the ambience of the place . This Time I rea
q027,template_baseline,SKYHY,price,0.7982451915740967,0.5420498847961426,1.0,0.75,0.7547605768775512,0.20809248554913296,1007,176,1,1,0,0,0.5,Based on 5 relevant reviews about **SKYHY**:  Most Relevant Reviews:  **1.** DJ floor is the best part of Skyhy 💃 The name of the lounge is justified with a decent rooftop. IPL and
q028,template_baseline,Triptify,hygiene,0.0,0.9427302479743958,0.0,0.0,0.005541111132628379,0.0,127,20,0,1,0,1,0.75,I couldn't find relevant information in the reviews or online about 'Are there any hygiene concerns at Triptify?' for Triptify.
q029,template_baseline,Frio Bistro,ambience,0.5029126852750778,0.6620163321495056,1.0,0.5,0.6387528113038836,0.4050632911392405,482,79,1,1,0,1,0.75,Based on 2 relevant reviews about **Frio Bistro**:  Most Relevant Reviews:  **1.** Had an excellent evening at Frio. Well done coffee with stuffed chicken breast. The place is very
q030,template_baseline,Karachi Cafe,recommend,0.28157374635338783,0.7628071308135986,1.0,0.25,0.48137854291545285,0.18181818181818182,1082,187,1,1,1,1,1.0,Based on 5 relevant reviews about **Karachi Cafe**:  Most Relevant Reviews:  **1.** Place is good but they are charging too much cost. Better to go Paradise as compared to Karachi 
q031,template_baseline,NorFest - The Dhaba,quality,0.7259952425956726,0.7456544637680054,1.0,1.0,0.8577640673263405,0.19402985074626866,1148,205,1,1,1,1,1.0,"Based on 5 relevant reviews about **NorFest - The Dhaba**:  Most Relevant Reviews:  **1.** Located on top floor of SLN TERMINUS , in one of the food court's corner, norfest dhaba h"
q032,template_baseline,Eat India Company,service,0.20993218570947647,0.7617955207824707,1.0,1.0,0.6323817972985833,0.23448275862068965,895,146,0,1,0,1,0.5,"Based on 4 relevant reviews about **Eat India Company**:  Most Relevant Reviews:  **1.** I have been to Eat India Company twice. To Sum up my experience, I found the service Sloppy"
q033,template_baseline,Chinese Wok,price,0.8818726241588593,0.5746093988418579,1.0,0.5,0.7094750833527821,0.2088607594936709,938,163,1,1,0,1,0.75,Based on 5 relevant reviews about **Chinese Wok**:  Most Relevant Reviews:  **1.** WOK was tasty. Noodles were soft and the sauces along with all the ingredients in combination wer
q034,template_baseline,Zing's Northeast Kitchen,hygiene,0.0,0.9518932104110718,0.0,0.0,0.005554526681664297,0.0,159,24,0,0,0,1,0.5,I couldn't find relevant information in the reviews or online about 'Are there any hygiene concerns at Zing's Northeast Kitchen?' for Zing's Northeast Kitchen.
q035,template_baseline,Driven Cafe,ambience,0.8704541623592377,0.7133172154426575,1.0,1.0,0.8876814673979868,0.18994413407821228,1018,180,1,1,0,1,0.75,Based on 5 relevant reviews about **Driven Cafe**:  Most Relevant Reviews:  **1.** The ambience is really good. I like the coffee ☕.. The best thing about driven I can get my coffe
q036,template_baseline,The Indi Grill,recommend,0.9797573387622833,0.7120797634124756,1.0,0.75,0.8505054640689177,0.1875,1086,179,1,1,1,1,1.0,"Based on 5 relevant reviews about **The Indi Grill**:  Most Relevant Reviews:  **1.** Had a great time at Indi grill.....Food was very delicious and specially chili paneer, awesome"
q037,template_baseline,Delhi-39,quality,0.2648748978972435,0.8159303665161133,1.0,0.25,0.48212369561438373,0.3050847457627119,680,118,1,1,1,1,1.0,Based on 4 relevant reviews about **Delhi-39**:  Most Relevant Reviews:  **1.** Awful food.. no salt no spices.. Shame on a restaurant who has Delhi in it's name. **2.** Yesterday 
q038,template_baseline,The Chocolate Room,service,0.689219281077385,0.6546164751052856,1.0,1.0,0.8195700652195151,0.2,1033,177,1,1,0,1,0.75,Based on 5 relevant reviews about **The Chocolate Room**:  Most Relevant Reviews:  **1.** Have been to The Chocolate Room at other locations so visit to this one was quite awaiting
q039,template_baseline,Hyderabadi Daawat,price,0.9964203387498856,0.5361270904541016,1.0,1.0,0.8549241476904575,0.18452380952380953,1052,169,1,1,0,0,0.5,Based on 5 relevant reviews about **Hyderabadi Daawat**:  Most Relevant Reviews:  **1.** I happen to visit Hyderabadi daawat with family .. 14 members.. after long time v gotto tas
q040,template_baseline,Udipi's Upahar,hygiene,0.6041363773401827,0.6858317852020264,1.0,0.25,0.5673135428666092,0.62,316,50,0,1,0,1,0.5,Based on 1 relevant reviews about **Udipi's Upahar**:  Most Relevant Reviews:  **1.** Not up to mark as per it’s brand name. Food is just like ordinary tiffin centre’s Need to impr
q041,template_baseline,The Glass Onion,ambience,0.9729718714952469,0.6952381730079651,1.0,1.0,0.906898061662711,0.18435754189944134,1077,182,1,1,0,1,0.75,"Based on 5 relevant reviews about **The Glass Onion**:  Most Relevant Reviews:  **1.** Let me start the review by complementing the owners for a catchy name ,'The Glass Onion'. Gre"
q042,template_baseline,Cream Stone,recommend,0.9979167580604553,0.6506507396697998,1.0,0.75,0.8353642334017864,0.17989417989417988,1085,190,1,1,1,1,1.0,Based on 5 relevant reviews about **Cream Stone**:  Most Relevant Reviews:  **1.** Cream stone is always best but even when the cake that we require is completed they are still sho
q043,template_baseline,Being Hungry,quality,0.5288072990175957,0.7079640626907349,1.0,0.5,0.6577633397397684,0.19444444444444445,248,36,1,1,1,1,1.0,Based on 1 relevant reviews about **Being Hungry**:  Most Relevant Reviews:  **1.** food quality was not good as expected AI Summary:  Food quality is highly praised by customers. 
q044,template_baseline,Tempteys,service,0.8759453296661377,0.6851475834846497,1.0,0.75,0.8190880667740209,0.24,166,25,1,1,0,1,0.75,Based on 1 relevant reviews about **Tempteys**:  Most Relevant Reviews:  **1.** good service and taste is Good AI Summary:  Service is appreciated by most customers. 
q045,template_baseline,Diners Pavilion,price,0.9964028745889664,0.7178210020065308,1.0,1.0,0.9196292648752844,0.21830985915492956,865,143,1,1,0,0,0.5,Based on 4 relevant reviews about **Diners Pavilion**:  Most Relevant Reviews:  **1.** Our first experience with diners pavilion was pretty. The ambience was good. they have a buff
q046,template_baseline,The Old Madras Baking Company,hygiene,0.9918534457683563,0.7478595972061157,1.0,1.0,0.9280404252925734,0.288135593220339,708,118,1,1,0,1,0.75,Based on 3 relevant reviews about **The Old Madras Baking Company**:  Most Relevant Reviews:  **1.** The Old Madras has been our go to place for some nice coffee with a sandwich wh
q047,template_baseline,Beyond Flavours,ambience,0.9974391758441925,0.712706446647644,1.0,1.0,0.9182253474595888,0.58,332,50,1,1,0,1,0.75,"Based on 1 relevant reviews about **Beyond Flavours**:  Most Relevant Reviews:  **1.** This is the place where the flavor of food and service are like beyond good ,beyond expectati"
q048,template_baseline,Hitech Bawarchi Food Zone,recommend,0.0,0.9240881204605103,0.0,0.0,0.005513512287801967,0.0,153,23,0,1,0,1,0.5,I couldn't find relevant information in the reviews or online about 'Would customers recommend Hitech Bawarchi Food Zone?' for Hitech Bawarchi Food Zone.
q049,template_baseline,Shree Santosh Dhaba Family Restaurant,quality,0.5471249744296074,0.8061378002166748,1.0,0.25,0.5762473729225918,0.3068181818181818,585,90,1,1,1,1,1.0,Based on 2 relevant reviews about **Shree Santosh Dhaba Family Restaurant**:  Most Relevant Reviews:  **1.** Food Quality Is worst. Literally vomitted all the food what I ate.....T
q050,template_baseline,Club Rogue,service,0.3654705174267292,0.6531102061271667,1.0,0.75,0.6504666285723452,0.19473684210526315,1034,190,1,1,0,1,0.75,Based on 5 relevant reviews about **Club Rogue**:  Most Relevant Reviews:  **1.** The ambience of the club is really nice. The staff are friendly and the best thing about Club roug
q001,llm_existing_chunks,Desi Bytes,quality,0.9967717925707499,0.5636882781982422,1.0,0.25,0.6122005113285026,0.65625,162,32,0,1,0,1,0.5,"Pathetic quality of food! Waste of money and the chur chhur naan I ordered was a disaster. It was so so soggy and made up of such dough and had lumps, Horrible!!!"
q002,llm_existing_chunks,eat.fit,service,0.9660695195198059,0.6123101711273193,1.0,0.75,0.8161317606396219,1.0,260,45,1,1,0,0,0.5,"Great food came up with neatly packed and the delivery person was handled the package with care and delivered on time, thanks to Zomato to be a partner with this kind of great rest"
q003,llm_existing_chunks,Mustang Terrace Lounge,price,0.9803225249052048,0.6835235357284546,1.0,1.0,0.9047542121769804,1.0,283,52,1,0,0,0,0.25,Yes... Mustang is a great lounge..just went in the late evening... Just want to kill some time there that all.. Used zomato gold.. They do accept it.. Well and they dont have Foste
q004,llm_existing_chunks,Olive Garden,hygiene,0.9702901989221573,0.49831539392471313,1.0,1.0,0.8338760240911255,1.0,215,36,1,1,0,0,0.5,"Good food. Great service. Lovely ambience, especially the lighting. The staff is courteous too. Overall, a great experience. If you want a decent meal at a really affordable rate t"
q005,llm_existing_chunks,Barista,ambience,0.0,0.3392481207847595,0.0,0.0,0.004291700064385824,0.0,33,5,0,0,0,0,0.0,No retrieved reviews for Barista.
q006,llm_existing_chunks,McDonald's,recommend,0.8603439629077911,0.7227033376693726,1.0,1.0,0.8879899365223368,0.9787234042553191,280,47,1,1,0,0,0.5,"I recently visited McDonald's and had a great experience! The staff were friendly and efficient, and the food was hot and fresh. I loved the convenience of ordering through the app"
q007,llm_existing_chunks,Hyderabad Chefs,quality,0.9970536231994629,0.788233757019043,1.0,0.5,0.7917460176318939,0.6764705882352942,208,34,1,1,0,1,0.75,This place surprised me with its taste and quantity whenever I ordered from it.Great going..would love to place more orders from Hyderabad chefs 3rd sentence: The food quality at H
q008,llm_existing_chunks,BOX8 - India's Largest Desi Meals Brand,service,0.9138252288103104,0.778871476650238,1.0,1.0,0.9185065039179894,0.4835164835164835,488,92,1,1,0,1,0.75,"The service is good. The food is fresh and fast. The quantity is never too little, and usually a meal box for one has too much food. My favourite dish is the Dal Makhani! The only "
q009,llm_existing_chunks,Zega - Sheraton Hyderabad Hotel,price,0.9110850542783737,0.6748368740081787,1.0,1.0,0.885501766385468,0.4482758620689655,523,89,1,1,0,1,0.75,Definitely it’s a must try place for - Zega is surely the best restaurant in Hyderabad. Second time visiting this amazing restaurant and the food is really good especially the sush
q010,llm_existing_chunks,Mohammedia Shawarma,hygiene,0.8946593254804611,0.6495081186294556,1.0,0.75,0.8125047061019718,0.9347826086956522,281,46,1,1,0,1,0.75,Unprofessional and unhygienic. Shawarma fast food shops have sprang up in every nook and corner of the city but they typically have their setup on roads. Hygiene is never considere
q011,llm_existing_chunks,Behrouz Biryani,ambience,0.0,0.3184030055999756,0.0,0.0,0.004224198224307712,0.0,41,6,0,0,0,0,0.0,No retrieved reviews for Behrouz Biryani.
q012,llm_existing_chunks,Frozen Bottle,recommend,0.03116174228489399,0.2453916072845459,1.0,0.5,0.24866396842404756,0.03571428571428571,125,28,1,0,0,0,0.25,(i) I don't think it's a good place to eat.. (ii) It's not a place to go if you're looking for a nice place to have a drink..
q013,llm_existing_chunks,MOJO Pizza - 2X Toppings,quality,0.8152806162834167,0.703898012638092,1.0,0.75,0.8099711119734393,1.0,151,26,1,1,0,1,0.75,"Pizza lovers must try Mojo pizza taste is good,stuffing and topping is yummy and tasty You will get variety of Veg and Nonveg Pizzas,garlic bread here."
q014,llm_existing_chunks,Dunkin' Donuts,service,0.9226892292499542,0.6534284353256226,1.0,1.0,0.8811774408915111,1.0,184,29,0,1,0,1,0.75,The food's horrible. The service is slow and impolite. The potato wedges are stale and almost uncooked. The chicken burger smelled awful. I expected better service from Dunkin' Don
q015,llm_existing_chunks,Kritunga Restaurant,price,0.4207947701215744,0.6657674312591553,1.0,1.0,0.7275254996767456,0.6585365853658537,429,82,0,1,0,0,0.5,I have been in kritunga it was awesome I have ordered Keema biryani it was delicious I give 5rating for services. It is perfect for family and others. A complete and absolute disas
q016,llm_existing_chunks,Feast - Sheraton Hyderabad Hotel,hygiene,0.521495945751667,0.35085994005203247,1.0,1.0,0.6540277571634489,0.5301204819277109,472,85,1,1,0,0,0.5,"Service is so bad here, we had to beg for serving drinking water. The quality of food is ok and fish fry was stale. li - A great place for the 5 star experience. The ambience is re"
q017,llm_existing_chunks,B-Dubs,ambience,0.9958448708057404,0.6757461428642273,1.0,1.0,0.9057197052799101,1.0,183,36,0,1,0,1,0.5,The ambience of this place is amazing. B dubs is the best place to be during any major sports seasons. The food is yum and the staff is very very nice. This place will not disappoi
q018,llm_existing_chunks,Royal Spicy Restaurant,recommend,0.30019252995649975,0.7341633439064026,1.0,0.5,0.5761567384213695,0.6842105263157895,209,38,1,0,0,1,0.5,I would not recommend this restaurant if you are not spice lover. It was ordered for a person having mouth ulcers and he is on his way to hospital due to restaurant negligence. Wor
q019,llm_existing_chunks,La La Land - Bar & Kitchen,quality,0.5556183010339737,0.655584990978241,1.0,1.0,0.7768754295168018,0.9444444444444444,280,54,1,1,0,1,0.75,"The food is really below average. Although they've put a lot of items on their menu, all of them lack quality and flavour. The service is not at all good. Nobody's even around you "
q020,llm_existing_chunks,10 Downing Street,service,0.03912251419387758,0.6082896590232849,1.0,1.0,0.39276637238689055,1.0,245,49,0,1,0,0,0.25,"Average food. That just about sums it up for 10 Downing Street. Just as the name suggests, the place has a very British feel to it as far as the ambience goes. It's cost, warm and "
q021,llm_existing_chunks,Asian Meal Box,price,0.8467009365558624,0.7871744632720947,1.0,0.5,0.7597885777133688,0.803921568627451,277,51,1,1,0,1,0.75,Meal box are value for money. The tossed noodles are soft and much healthier than fried and chicken quality is also good. The only con is that chicken is not spicy even after selec
q022,llm_existing_chunks,KS Bakers,hygiene,0.9869987815618515,0.4702936112880707,1.0,1.0,0.8254132267617205,0.8166666666666667,341,60,1,1,0,0,0.5,"ks bakers, They have the best ever cakes, burgers and pizzas. I often visit this place. It does offer good food and seating. The expense to satisfaction ratio is good. One can alwa"
q023,llm_existing_chunks,Aromas@11SIX,ambience,0.0,0.37115412950515747,0.0,0.0,0.004389232378377462,0.0,38,5,0,0,0,0,0.0,No retrieved reviews for Aromas@11SIX.
q024,llm_existing_chunks,Karachi Bakery,recommend,0.8897813558578491,0.8302156329154968,1.0,0.75,0.8627478147242542,1.0,279,51,1,1,0,0,0.5,It's a good chain of bakery here in the city well they give quite decent quality and quantity of food but only issue while ordering with Karachi bakery is the cheese burst sandwich
q025,llm_existing_chunks,Khaan Saab,quality,0.3989929258823395,0.4736148715019226,1.0,1.0,0.6593220975768888,0.2,142,25,1,1,0,1,0.75,"Very good. Service is good. Food quality is very good. Price is high. Ambience is a bit shabby. Service was mediocre. Overall, very good food."
q026,llm_existing_chunks,The Tilt Bar Republic,service,0.8006294220685959,0.5114449858665466,1.0,1.0,0.7999403758806426,0.8431372549019608,264,51,1,1,0,1,0.75,The Tilt Bar Republic is a unique place amongst all the bars in Hyderabad. What sets it apart is both the beer and the service. Order the egg Manchuria without fail. The cooks are 
q027,llm_existing_chunks,SKYHY,price,0.7257879674434662,0.2802408039569855,1.0,0.75,0.6249576655858814,0.6724137931034483,311,58,1,1,0,1,0.75,"Yes, it is a good place to spend some quality time with your friends and loved ones. The food was great and delicious. The place is not like a typical pub where in you can get drun"
q028,llm_existing_chunks,Triptify,hygiene,0.0,0.2933715581893921,0.0,0.0,0.004138609991359341,0.0,34,5,0,0,0,0,0.0,No retrieved reviews for Triptify.
q029,llm_existing_chunks,Frio Bistro,ambience,0.45514994114637375,0.37673962116241455,1.0,0.5,0.5411173362073456,0.6326530612244898,285,49,1,1,0,1,0.75,Very pretty and the place looked very cosy. We had non-veg pizza and chicken wings for starters. Both were equally good. The highlight of our meal was pork ribs which was s 3 sente
q030,llm_existing_chunks,Karachi Cafe,recommend,0.25738691786925,0.7920703291893005,1.0,0.75,0.6253207922451537,1.0,162,32,1,0,0,0,0.25,Place is good but they are charging too much cost. Better to go Paradise as compared to Karachi Cafe. If you have too much money then you should go to this place.
q031,llm_existing_chunks,NorFest - The Dhaba,quality,0.6801964640617371,0.6302624940872192,1.0,1.0,0.8091684824474913,0.5875,453,83,1,1,0,1,0.75,Very good. Food is also good but not the best. Kebabs were nice except the galawati kebab it was not as good as lucknow one. The portions were quite small. Service is fast. - Norfe
q032,llm_existing_chunks,Eat India Company,service,0.25796066721280414,0.5602544546127319,1.0,1.0,0.6165732833867513,0.4666666666666667,476,76,1,1,0,1,0.75,"Sloppy and mindless. Food has fluctuating standards here, for a meal that cost almost 2k for 2 people without drinks one would expect at least some good to come out of the most bas"
q033,llm_existing_chunks,Chinese Wok,price,0.8812593668699265,0.566993236541748,1.0,0.5,0.7069894078263957,0.9795918367346939,279,49,1,1,0,1,0.75,WOK was tasty. Noodles were soft and the sauces along with all the ingredients in combination were good. The only drawback is its price with respect to its quantity. I personally f
q034,llm_existing_chunks,Zing's Northeast Kitchen,hygiene,0.00820275885052979,0.48595136404037476,1.0,1.0,0.2512685811424167,1.0,216,39,1,1,0,1,0.75,The food is toooooooooo good. The interior and the ambiance both are very cozy. Only the staffs could have been a little more attentive. The wash basin and toilet should have been 
q035,llm_existing_chunks,Driven Cafe,ambience,0.7864225208759308,0.6965885758399963,1.0,1.0,0.8603161436229209,1.0,165,28,1,1,0,1,0.75,Good ambience. A place for grabbing quick bites. Service was a bit late. Heard that this place serves good coffee..I had cold coffee which was very bad surprisingly!
q036,llm_existing_chunks,The Indi Grill,recommend,0.9509789645671844,0.8184641599655151,1.0,0.75,0.8740936397622012,0.07317073170731707,210,41,1,1,0,1,0.75,I would recommend The Indi Grill because it is a great place to eat. The food is great and the service is great. The prices are reasonable and the food is good. The atmosphere is n
q037,llm_existing_chunks,Delhi-39,quality,0.29791415110230446,0.7086930871009827,1.0,0.25,0.47931645046523486,0.6585365853658537,427,84,1,1,0,1,0.75,Awful food.. no salt no spices.. Shame on a restaurant who has Delhi in it's name. - Yesterday I went with my friend for lunch first i thought this place is a not good.Then my frie
q038,llm_existing_chunks,The Chocolate Room,service,0.5995608270168304,0.6316306591033936,1.0,1.0,0.784465977889044,0.9142857142857143,198,35,1,1,0,1,0.75,Great place for chocolate lovers. My kids enjoy it every time. The cuddle cup concept is too cute. Chocolate fondue is to die for. The staff is a little untrained. Could do some mo
q039,llm_existing_chunks,Hyderabadi Daawat,price,0.9963476657867432,0.5347610712051392,1.0,1.0,0.8543634741375835,1.0,231,39,1,1,0,0,0.5,Excellent food and service. Had my dinner there with team on my visit to Hyderabad. The food was very tasty. The service was awsome and the staff was extremely polite and professio
q040,llm_existing_chunks,Udipi's Upahar,hygiene,0.33973701298236847,0.5259835720062256,1.0,0.75,0.6050539170976207,1.0,213,38,0,1,0,1,0.5,Not up to mark as per it’s brand name. Food is just like ordinary tiffin centre’s Need to improve and provide food really authentic of Udipi Ambiance is really awkward no cleanline
q041,llm_existing_chunks,The Glass Onion,ambience,0.979912668466568,0.7017186880111694,1.0,1.0,0.9106208790747027,1.0,221,40,1,1,0,1,0.75,Glass onion is without doubt one of the places to eat at. Not only is the food amazing but the ambience is superb too. Friendly staff and good service. Check out the page s.t.a.s.h
q042,llm_existing_chunks,Cream Stone,recommend,0.9981847852468491,0.603330135345459,1.0,0.75,0.8197979101289739,0.5606060606060606,357,66,1,1,0,1,0.75,If you are an ice-cream lover you might have already been here. Cream stone is one of the best places to get many variety flavoured ice creams at anytime. I love treating myself to
q043,llm_existing_chunks,Being Hungry,quality,0.10782353903050534,0.6016228199005127,1.0,0.5,0.4243771304819897,0.2413793103448276,175,29,1,1,0,1,0.75,"food quality was not good as expected. Food is nice as always. 3 sentence answer (mention food, service, price, ambience, portion etc. as relevant; do not quote single review)"
q044,llm_existing_chunks,Tempteys,service,0.9564307332038879,0.49707162380218506,1.0,0.75,0.7727400815818055,0.20689655172413793,178,29,1,1,0,1,0.75,"good service and taste is Good 3-sentence answer (mention food, service, price, ambience, portion etc. as relevant; do not quote a single review): Good service and flavor is Good"
