id,restaurant,intent,faithfulness,relevancy,groundedness,reason,answer_preview
q011,Behrouz Biryani,ambience,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **Behrouz Biryani**:

Most Relevant Reviews:

**1.** The Behrouz Biryani is the Royal Biryani. The flavour of Rice is super and the pieces of chicken are yummy. The p"
q012,Frozen Bottle,recommend,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **Frozen Bottle**:

Most Relevant Reviews:

**1.** Yesterday visited this place for the 1st time to try icecream milkshake which was on offer price of everything at R"
q013,MOJO Pizza - 2X Toppings,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **MOJO Pizza - 2X Toppings**:

Most Relevant Reviews:

**1.** Mojo Pizza offers variety of amazing and delicious pizza's with 2x toppings. It was my first time of moj"
q014,Dunkin' Donuts,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Dunkin' Donuts**:

Most Relevant Reviews:

**1.** Its was very great service from you Dunkin donuts and the ambience was really awesome and the taste was really yum"
q015,Kritunga Restaurant,price,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Kritunga Restaurant**:

Most Relevant Reviews:

**1.** Very good ambience good food and very friendly staff comparing to all kritunga restaurants this is the best o"
q016,Feast - Sheraton Hyderabad Hotel,hygiene,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 2 relevant reviews about **Feast - Sheraton Hyderabad Hotel**:

Most Relevant Reviews:

**1.** Sheraton is one of the best hotels in Hyderabad but their restaurant fails to match the expectat"
q017,B-Dubs,ambience,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 3 relevant reviews about **B-Dubs**:

Most Relevant Reviews:

**1.** The ambience of this place is amazing. B dubs is the best place to be during any major sports seasons. The food is yum and"
q018,Royal Spicy Restaurant,recommend,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 3 relevant reviews about **Royal Spicy Restaurant**:

Most Relevant Reviews:

**1.** The food was far more spicy than what was mentioned in the instructions for the restaurant. It was ordered"
q019,La La Land - Bar & Kitchen,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **La La Land - Bar & Kitchen**:

Most Relevant Reviews:

**1.** La La Land! Ambiance- 3.5/5 It has a black theme with modern crafty ceilings & is dimly lit but not da"
q020,10 Downing Street,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **10 Downing Street**:

Most Relevant Reviews:

**1.** A grand entry, decent ambience and average food. That just about sums it up for 10 Downing Street. Just as the "
q021,Asian Meal Box,price,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 4 relevant reviews about **Asian Meal Box**:

Most Relevant Reviews:

**1.** Meal box are value for money. The tossed noodles are soft and much healthier than fried and chicken quality is als"
q022,KS Bakers,hygiene,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **KS Bakers**:

Most Relevant Reviews:

**1.** I often visit this place. It does offer good food and seating. The expense to satisfaction ratio is good. One can alway"
q023,Aromas@11SIX,ambience,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",I couldn't find relevant information in the reviews or online about 'What is the ambience like at Aromas@11SIX?' for Aromas@11SIX.
q024,Karachi Bakery,recommend,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Karachi Bakery**:

Most Relevant Reviews:

**1.** It's a good chain of bakery here in the city well they give quite decent quality and quantity of food but only iss"
q025,Khaan Saab,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Khaan Saab**:

Most Relevant Reviews:

**1.** I have been to khaan Saab in Vijayawada earlier and loved the food and ambience. Hence, chose to go to this place as I"
q026,The Tilt Bar Republic,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 2 relevant reviews about **The Tilt Bar Republic**:

Most Relevant Reviews:

**1.** This is my second visit to tilt bar . Loved the ambience of the place . This Time I really enjoyed with foo"
q027,SKYHY,price,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **SKYHY**:

Most Relevant Reviews:

**1.** DJ floor is the best part of Skyhy 💃 The name of the lounge is justified with a decent rooftop. IPL and T20 times are the b"
q028,Triptify,hygiene,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",I couldn't find relevant information in the reviews or online about 'Are there any hygiene concerns at Triptify?' for Triptify.
q029,Frio Bistro,ambience,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 2 relevant reviews about **Frio Bistro**:

Most Relevant Reviews:

**1.** Had an excellent evening at Frio. Well done coffee with stuffed chicken breast. The place is very cozy and always ful"
q030,Karachi Cafe,recommend,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Karachi Cafe**:

Most Relevant Reviews:

**1.** Place is good but they are charging too much cost. Better to go Paradise as compared to Karachi Cafe. If you have to"
q031,NorFest - The Dhaba,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **NorFest - The Dhaba**:

Most Relevant Reviews:

**1.** Located on top floor of SLN TERMINUS , in one of the food court's corner, norfest dhaba has well arranged men"
q032,Eat India Company,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 4 relevant reviews about **Eat India Company**:

Most Relevant Reviews:

**1.** I have been to Eat India Company twice. To Sum up my experience, I found the service Sloppy and mindless. Food "
q033,Chinese Wok,price,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Chinese Wok**:

Most Relevant Reviews:

**1.** WOK was tasty. Noodles were soft and the sauces along with all the ingredients in combination were good. The only dra"
q034,Zing's Northeast Kitchen,hygiene,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",I couldn't find relevant information in the reviews or online about 'Are there any hygiene concerns at Zing's Northeast Kitchen?' for Zing's Northeast Kitchen.
q035,Driven Cafe,ambience,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Driven Cafe**:

Most Relevant Reviews:

**1.** The ambience is really good. I like the coffee ☕.. The best thing about driven I can get my coffee at any time on any"
q036,The Indi Grill,recommend,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **The Indi Grill**:

Most Relevant Reviews:

**1.** Had a great time at Indi grill.....Food was very delicious and specially chili paneer, awesome.... must try.... se"
q037,Delhi-39,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 4 relevant reviews about **Delhi-39**:

Most Relevant Reviews:

**1.** Awful food.. no salt no spices.. Shame on a restaurant who has Delhi in it's name.
**2.** Yesterday I went with my frien"
q038,The Chocolate Room,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **The Chocolate Room**:

Most Relevant Reviews:

**1.** Have been to The Chocolate Room at other locations so visit to this one was quite awaiting. Like the ambiance "
q039,Hyderabadi Daawat,price,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Hyderabadi Daawat**:

Most Relevant Reviews:

**1.** I happen to visit Hyderabadi daawat with family .. 14 members.. after long time v gotto taste authentic Hyderab"
q040,Udipi's Upahar,hygiene,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **Udipi's Upahar**:

Most Relevant Reviews:

**1.** Not up to mark as per it’s brand name. Food is just like ordinary tiffin centre’s Need to improve and provide food"
q041,The Glass Onion,ambience,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **The Glass Onion**:

Most Relevant Reviews:

**1.** Let me start the review by complementing the owners for a catchy name ,'The Glass Onion'. Great ambience, okay fo"
q042,Cream Stone,recommend,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Cream Stone**:

Most Relevant Reviews:

**1.** Cream stone is always best but even when the cake that we require is completed they are still showing the cake on onl"
q043,Being Hungry,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **Being Hungry**:

Most Relevant Reviews:

**1.** food quality was not good as expected
AI Summary:
 Food quality is highly praised by customers. Average rating: **2."
q044,Tempteys,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **Tempteys**:

Most Relevant Reviews:

**1.** good service and taste is Good
AI Summary:
 Service is appreciated by most customers. "
q045,Diners Pavilion,price,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 4 relevant reviews about **Diners Pavilion**:

Most Relevant Reviews:

**1.** Our first experience with diners pavilion was pretty. The ambience was good. they have a buffet lunch starters , "
q046,The Old Madras Baking Company,hygiene,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 3 relevant reviews about **The Old Madras Baking Company**:

Most Relevant Reviews:

**1.** The Old Madras has been our go to place for some nice coffee with a sandwich whenever the weather i"
q047,Beyond Flavours,ambience,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **Beyond Flavours**:

Most Relevant Reviews:

**1.** This is the place where the flavor of food and service are like beyond good ,beyond expectations and really reall"
q048,Hitech Bawarchi Food Zone,recommend,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",I couldn't find relevant information in the reviews or online about 'Would customers recommend Hitech Bawarchi Food Zone?' for Hitech Bawarchi Food Zone.
q049,Shree Santosh Dhaba Family Restaurant,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 2 relevant reviews about **Shree Santosh Dhaba Family Restaurant**:

Most Relevant Reviews:

**1.** Food Quality Is worst. Literally vomitted all the food what I ate.....Too oily....we can’t "
q050,Club Rogue,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Club Rogue**:

Most Relevant Reviews:

**1.** The ambience of the club is really nice. The staff are friendly and the best thing about Club rouge is the pricing, it"
