id,intent,restaurant,sentiment_dir_match,top_category_hit,rating_mention,intent_addressed,specificity_score,pred_dir,gold_dir,answer_failed,answer_preview
q027,price,SKYHY,1,1,0,0,0.5,positive,positive,False,"Based on 5 relevant reviews about **SKYHY**:

Most Relevant Reviews:

**1.** DJ floor is the best part of Skyhy 💃 The name of the lounge is justified with a dec"
q028,hygiene,Triptify,0,1,0,1,0.75,negative,positive,False,I couldn't find relevant information in the reviews or online about 'Are there any hygiene concerns at Triptify?' for Triptify.
q029,ambience,Frio Bistro,1,1,0,1,0.75,positive,positive,False,"Based on 2 relevant reviews about **Frio Bistro**:

Most Relevant Reviews:

**1.** Had an excellent evening at Frio. Well done coffee with stuffed chicken breas"
q030,recommend,Karachi Cafe,1,1,1,1,1.0,positive,positive,False,"Based on 5 relevant reviews about **Karachi Cafe**:

Most Relevant Reviews:

**1.** Place is good but they are charging too much cost. Better to go Paradise as "
q031,quality,NorFest - The Dhaba,1,1,1,1,1.0,positive,positive,False,"Based on 5 relevant reviews about **NorFest - The Dhaba**:

Most Relevant Reviews:

**1.** Located on top floor of SLN TERMINUS , in one of the food court's cor"
q032,service,Eat India Company,0,1,0,1,0.5,mixed,positive,False,"Based on 4 relevant reviews about **Eat India Company**:

Most Relevant Reviews:

**1.** I have been to Eat India Company twice. To Sum up my experience, I foun"
q033,price,Chinese Wok,1,1,0,1,0.75,positive,positive,False,"Based on 5 relevant reviews about **Chinese Wok**:

Most Relevant Reviews:

**1.** WOK was tasty. Noodles were soft and the sauces along with all the ingredient"
q034,hygiene,Zing's Northeast Kitchen,0,0,0,1,0.5,negative,positive,False,I couldn't find relevant information in the reviews or online about 'Are there any hygiene concerns at Zing's Northeast Kitchen?' for Zing's Northeast Kitchen.
q035,ambience,Driven Cafe,1,1,0,1,0.75,positive,positive,False,"Based on 5 relevant reviews about **Driven Cafe**:

Most Relevant Reviews:

**1.** The ambience is really good. I like the coffee ☕.. The best thing about drive"
q036,recommend,The Indi Grill,1,1,1,1,1.0,positive,positive,False,"Based on 5 relevant reviews about **The Indi Grill**:

Most Relevant Reviews:

**1.** Had a great time at Indi grill.....Food was very delicious and specially c"
q037,quality,Delhi-39,1,1,1,1,1.0,positive,positive,False,"Based on 4 relevant reviews about **Delhi-39**:

Most Relevant Reviews:

**1.** Awful food.. no salt no spices.. Shame on a restaurant who has Delhi in it's nam"
q038,service,The Chocolate Room,1,1,0,1,0.75,positive,positive,False,"Based on 5 relevant reviews about **The Chocolate Room**:

Most Relevant Reviews:

**1.** Have been to The Chocolate Room at other locations so visit to this on"
q039,price,Hyderabadi Daawat,1,1,0,0,0.5,positive,positive,False,"Based on 5 relevant reviews about **Hyderabadi Daawat**:

Most Relevant Reviews:

**1.** I happen to visit Hyderabadi daawat with family .. 14 members.. after l"
q040,hygiene,Udipi's Upahar,0,1,0,1,0.5,mixed,positive,False,"Based on 1 relevant reviews about **Udipi's Upahar**:

Most Relevant Reviews:

**1.** Not up to mark as per it’s brand name. Food is just like ordinary tiffin c"
q041,ambience,The Glass Onion,1,1,0,1,0.75,positive,positive,False,"Based on 5 relevant reviews about **The Glass Onion**:

Most Relevant Reviews:

**1.** Let me start the review by complementing the owners for a catchy name ,'T"
q042,recommend,Cream Stone,1,1,1,1,1.0,positive,positive,False,"Based on 5 relevant reviews about **Cream Stone**:

Most Relevant Reviews:

**1.** Cream stone is always best but even when the cake that we require is complete"
q043,quality,Being Hungry,1,1,1,1,1.0,positive,positive,False,"Based on 1 relevant reviews about **Being Hungry**:

Most Relevant Reviews:

**1.** food quality was not good as expected
AI Summary:
 Food quality is highly pr"
q044,service,Tempteys,1,1,0,1,0.75,positive,positive,False,"Based on 1 relevant reviews about **Tempteys**:

Most Relevant Reviews:

**1.** good service and taste is Good
AI Summary:
 Service is appreciated by most custo"
q045,price,Diners Pavilion,1,1,0,0,0.5,positive,positive,False,"Based on 4 relevant reviews about **Diners Pavilion**:

Most Relevant Reviews:

**1.** Our first experience with diners pavilion was pretty. The ambience was go"
q046,hygiene,The Old Madras Baking Company,1,1,0,1,0.75,positive,positive,False,"Based on 3 relevant reviews about **The Old Madras Baking Company**:

Most Relevant Reviews:

**1.** The Old Madras has been our go to place for some nice coffe"
q047,ambience,Beyond Flavours,1,1,0,1,0.75,positive,positive,False,"Based on 1 relevant reviews about **Beyond Flavours**:

Most Relevant Reviews:

**1.** This is the place where the flavor of food and service are like beyond go"
q048,recommend,Hitech Bawarchi Food Zone,0,1,0,1,0.5,mixed,negative,False,I couldn't find relevant information in the reviews or online about 'Would customers recommend Hitech Bawarchi Food Zone?' for Hitech Bawarchi Food Zone.
q049,quality,Shree Santosh Dhaba Family Restaurant,1,1,1,1,1.0,negative,negative,False,"Based on 2 relevant reviews about **Shree Santosh Dhaba Family Restaurant**:

Most Relevant Reviews:

**1.** Food Quality Is worst. Literally vomitted all the f"
q050,service,Club Rogue,1,1,0,1,0.75,positive,positive,False,"Based on 5 relevant reviews about **Club Rogue**:

Most Relevant Reviews:

**1.** The ambience of the club is really nice. The staff are friendly and the best t"
